State,Sector,Indicator,Sub Indicator,desc,Value
Chhattisgarh,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,27.9
Chhattisgarh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,71.3
Chhattisgarh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,38.2
Chhattisgarh,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,0.2
Chhattisgarh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,3.3
Chhattisgarh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,0.9
Chhattisgarh,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.3
Chhattisgarh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.3
Chhattisgarh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.3
Chhattisgarh,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,2
Chhattisgarh,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.6
Chhattisgarh,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,Average Number of Air Conditioner Per Households Reporting Possession of Air Conditioner,1.6
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,0.6
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,4.3
Dadra & Nagar Haveli & Daman & Diu,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Cooler,Percentage of Households Reporting Possession of Air Cooler,3
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,0.7
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,3.4
Dadra & Nagar Haveli & Daman & Diu,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Percentage of Households Reporting Possession of Air Conditioner,Percentage of Households Reporting Possession of Air Conditioner,2.5
Dadra & Nagar Haveli & Daman & Diu,Rural,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.1
Dadra & Nagar Haveli & Daman & Diu,Urban,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
Dadra & Nagar Haveli & Daman & Diu,All,Percentage of Households Reporting Possession of Air Conditioner and Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,Average Number of Air Cooler Per Households Reporting Possession of Air Cooler,1.2
